OBJECTID,RESP_ID,YEAR,INTERVIEW_DATE,RESP_STATE,RESP_COUNTY,ZIP_CODE,ZIP_CODE_POP_DENSITY_QUINTILE,RESP_AGE,RESP_GENDER,RESP_COMBINED_SEX_BY_AGE,RESP_RACE_WHITE,RESP_RACE_BLACK,RESP_RACE_ASIAN,RESP_RACE_INDIGENOUS_AMERICAN,RESP_RACE_PACIFIC_ISLANDER,RESP_RACE_OTHER_RACE,RESP_RACE_UNKNOWN,RESP_RACE_DECLINED,RESP_RACE_OTHER_RACE_DETAIL,RESP_ETHNICITY_HISPANIC,RESP_COMBINED_RACE_ETHNICITY,RESP_BIRTH_COUNTRY,RESP_COMBINED_RACE_ETH_BIRTH,RESP_COMBINED_RACE_BY_AGE,RESP_RACE_BY_EDU,LANGUAGE,RESP_EDU_LEVEL,RESP_EDU_4_CATEGORIES,RESP_COMBINED_SEX_BY_EDU,RESP_COMBINED_AGE_BY_EDU,HH_INCOME,HH_ADULTS_COUNT,HH_18_OR_UNDER_COUNT,HH_WITH_KIDS_5_TO_18,HH_K_12_HOUSEHOLD,HH_MOBILE_INTERNET,HH_WIRED_BROADBAND,HH_SATELLITE_INTERNET,HH_DIAL_UP_INTERNET,HH_ANY_INTERNET_ACCESS,HH_CP_LANDLINE,HH_LL_CELL_PHONE,HH_LL_SMARTPHONE,RESP_LL_CELL_PHONE,HH_COMBINED_PHONE_ACCESS,HH_COMPUTER,HH_TABLET,HH_WITH_KIDS_COMP_PROGRAMS,HH_WITH_KIDS_INTERNET_PROGRAMS,HH_INTERNET_INTERRUPTED,RESP_AWARE_PHLCONNECT,RESP_AWARE_FREE_INTERNET,RESP_AWARE_FED_PROGRAM,HH_DISCOUNT_INTERNET_SIGN_UP,HH_ABILITY_TO_KEEP_INTERNET,HH_NO_DISCOUNT_INTERNET_REASON,HH_NO_DISCOUNT_INTERNET_OTHER,RESP_INTERNET_SATISFACTION,HH_NO_BB_REASON_INTERNET_COST,HH_NO_BB_REASON_COMP_COST,HH_NO_BB_REASON_SMARTPHONE,HH_NO_BB_REASON_OTHER_LOCATION,HH_NO_BB_REASON_UNINSTALLABLE,HH_NO_BB_REASON_PRIVACY,HH_NO_BB_REASON_TECH_COMFORT,HH_NO_BB_REASON_NOT_WANT,HH_NO_BB_REASON_DEBT,HH_NO_BB_REASON_OTHER,HH_NO_BB_REASON_PRIMARY,RESP_NO_BB_PAST_INTERNET,RESP_BB_COST_LIMIT,INTERVIEW_PHONE_TYPE,RDD_TYPE,STATISTICAL_WEIGHT
11,11018418,2021,28-Jun-21,1,1,19152,2,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,1,7,1,1,0,#NULL!,0,2,2,2,2,2,#NULL!,#NULL!,2,1,2,2,2,#NULL!,#NULL!,#NULL!,2,1,1,2,#NULL!,99,,#NULL!,1,1,2,2,2,1,1,2,2,2,6,2,2,0,1,1.2982
12,11004117,2021,29-Jun-21,1,1,19135,2,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,3,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,0,1,1.3483
13,11031320,2021,6-Jul-21,1,1,19142,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,3,2,0,#NULL!,0,1,8,8,2,1,#NULL!,1,1,2,2,1,1,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,1,2,1,2,8,2,2,2,2,2,3,2,3,0,1,0.474
14,11013515,2021,19-Jun-21,1,1,19115,1,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,98,2,0,#NULL!,0,2,1,2,2,1,#NULL!,1,1,2,2,2,2,#NULL!,#NULL!,8,2,2,2,#NULL!,#NULL!,#NULL!,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0.9836
15,11051038,2021,18-Jun-21,1,1,19104,4,6,2,12,1,1,0,1,0,0,0,0,,8,6,#NULL!,6,12,12,9,6,4,6,9,98,9,0,#NULL!,0,2,2,2,2,2,#NULL!,#NULL!,2,1,2,2,1,#NULL!,#NULL!,#NULL!,1,2,2,2,#NULL!,97,I'm sort of afraid of those things but do want to learn,#NULL!,8,2,2,1,2,1,1,2,2,1,6,2,8,0,1,0.6016
16,11032306,2021,19-Jun-21,1,1,19114,1,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,5,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.9319
17,11038811,2021,10-Jul-21,1,1,19141,3,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,8,4,6,9,6,2,2,2,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,4,4,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.215
18,11034943,2021,19-Jun-21,1,1,19136,1,5,1,5,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,6,4,3,9,6,1,0,#NULL!,0,2,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.9999
19,11050476,2021,18-Jun-21,1,1,19148,2,9,2,99,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,99,1,9,3,2,4,99,99,9,99,#NULL!,0,2,2,2,2,2,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,8,2,1,1,2,2,2,1,2,2,8,2,8,0,1,1.0348
20,11043711,2021,12-Jul-21,1,1,19140,4,3,2,9,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,5,6,9,6,4,6,6,8,5,1,2,0,1,1,1,2,1,#NULL!,#NULL!,1,1,2,1,1,1,4,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.2929
21,11024898,2021,21-Jun-21,1,1,19114,1,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,2,9,4,3,2,8,7,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,1,2,2,#NULL!,2,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,0,1,0.5289
22,11043221,2021,19-Jun-21,1,1,19149,5,4,2,10,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,2,2,9,4,3,5,5,8,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.6872
23,11006546,2021,28-Jun-21,1,1,19119,1,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,5,9,5,3,5,8,1,1,0,#NULL!,0,2,1,2,2,1,#NULL!,#NULL!,8,1,2,1,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1.1196
24,11040339,2021,18-Jun-21,1,1,19138,4,3,2,9,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,5,6,9,8,4,6,6,6,3,0,#NULL!,0,1,2,2,2,1,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,1,2,1,1,2,2,2,1,2,2,3,2,3,0,1,0.2929
25,11038134,2021,21-Jun-21,1,1,19140,4,5,2,11,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,5,9,5,3,5,8,6,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.7824
26,11009600,2021,20-Jun-21,1,1,19128,1,4,2,10,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,2,3,9,6,4,6,6,99,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,2,1,2,1,2,#NULL!,#NULL!,2,2,1,2,2,#NULL!,5,,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,0,1,0.916
27,11003179,2021,17-Jun-21,1,1,19131,1,6,1,6,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,6,9,8,4,3,9,4,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3517
28,11002499,2021,19-Jun-21,1,1,19153,1,4,2,10,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,5,6,9,8,4,6,6,7,3,3,2,0,1,1,1,2,1,#NULL!,#NULL!,1,1,2,1,1,4,4,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,0,1,0.612
29,11012483,2021,9-Jul-21,1,1,19143,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,2,1,4,7,2,3,0,#NULL!,0,2,1,2,2,1,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0.4491
30,11029703,2021,18-Jun-21,1,1,19148,2,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,1,1,4,7,99,3,99,#NULL!,0,2,1,2,2,1,#NULL!,#NULL!,2,1,2,2,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,0,1,0.7046
31,11017559,2021,9-Jul-21,1,1,19154,1,9,2,99,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,99,99,9,99,9,99,99,99,9,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,0,1,0.5074
32,11042140,2021,18-Jun-21,1,1,19130,5,2,2,8,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,1,3,9,8,4,6,3,8,1,1,2,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,4,4,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,1.6747
33,11013030,2021,16-Jun-21,1,1,19121,3,6,1,6,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,2,1,1,7,1,1,0,#NULL!,0,2,1,2,2,1,#NULL!,2,2,2,1,2,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0.8313
34,11022812,2021,17-Jun-21,1,1,19104,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,2,2,1,1,1,2,2,2,2,2,#NULL!,#NULL!,2,1,2,1,2,1,1,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,8,2,2,2,2,1,2,2,2,2,#NULL!,2,1,0,1,0.4491
35,11051170,2021,15-Jun-21,1,1,19134,3,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,2,9,4,3,2,8,2,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3129
36,11015450,2021,18-Jun-21,1,1,19130,5,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,8,4,6,9,6,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.4105
37,11050733,2021,28-Jun-21,1,1,19114,1,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,6,4,3,9,6,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3215
38,11045537,2021,6-Jul-21,1,1,19132,3,5,2,11,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,1,2,1,1,1,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,1,4,2,2,1,1,2,#NULL!,97,Because I have internet through my cable provider.,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,0,1,0.8219
39,11005472,2021,29-Jun-21,1,1,19138,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,2,1,1,2,0,2,2,2,2,2,#NULL!,2,2,2,1,2,2,4,4,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,1,1,2,2,2,1,1,8,2,2,6,2,2,0,1,0.6936
40,11008665,2021,23-Jun-21,1,1,19134,3,4,2,10,0,1,0,0,0,0,0,0,,1,3,3,4,8,7,10,1,1,4,4,98,2,2,1,1,2,2,2,2,2,#NULL!,#NULL!,2,1,2,2,2,1,1,#NULL!,2,1,1,2,#NULL!,98,,#NULL!,1,1,2,2,2,2,2,2,2,2,2,2,3,0,1,0.4637
41,11021320,2021,18-Jun-21,1,1,19132,3,6,1,6,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,1,7,2,2,2,2,0,1,1,2,2,1,#NULL!,1,2,2,2,2,2,4,4,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,0,1,0.5681
42,11033651,2021,18-Jun-21,1,1,19152,2,5,1,5,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,1,7,3,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,2.1102
43,11011361,2021,17-Jun-21,1,1,19146,5,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,8,4,6,9,99,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,0,1,0.215
44,11017356,2021,21-Jun-21,1,1,19124,3,5,2,11,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,6,2,1,1,1,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,2,1,4,2,2,1,1,2,#NULL!,97,was not interested,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.8219
45,11036423,2021,24-Jun-21,1,1,19151,3,4,2,10,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,5,6,9,8,4,6,6,8,3,1,1,1,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,1,4,2,2,1,2,2,#NULL!,97, did not need it,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3621
46,11009439,2021,18-Jun-21,1,1,19140,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,4,7,6,4,0,#NULL!,0,1,1,1,1,1,#NULL!,#NULL!,1,1,2,2,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.4491
47,11017608,2021,17-Jun-21,1,1,19119,1,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,6,4,3,9,9,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,1,1,2,#NULL!,2,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3215
48,11035787,2021,16-Jun-21,1,1,19115,1,5,2,11,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,6,9,6,4,6,9,6,3,1,1,1,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,1,4,2,2,1,2,2,#NULL!,2,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.516
49,11005496,2021,19-Jun-21,1,1,19140,4,6,2,12,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,2,1,4,7,7,2,2,2,0,2,2,2,2,2,#NULL!,1,1,2,2,2,2,4,4,#NULL!,2,1,2,2,#NULL!,97,NOT INTERESTED,#NULL!,1,1,1,1,2,1,1,2,2,2,3,1,3,0,1,0.474
